date,username,replies,retweets,favorites,hashtags,text
4/15/2020 0:48,MaryMister13,0,0,2,#WhoLiedPeopleDied #ChinaLiedPeopleDied #ItsChinasFault,#WhoLiedPeopleDied. #ChinaLiedPeopleDied. #ItsChinasFault. Deal with it.
4/14/2020 13:40,mikeybcfc1875,0,2,8,#COVID19 #COVID19 #itschinasfault,And only 1/5 of those deaths was attributed directly to #COVID19 according to @SkyNewsBreak DIRECTLY is the key word there. #COVID19 #itschinasfault
4/13/2020 22:16,cindievaccaro,0,0,0,#CCPVirus #WuhanCoronaVirus #COVIDー19 #ItsChinasFault,"The first documentary movie on #CCPVirus, tracking down the origin of the #WuhanCoronaVirus. #COVIDー19 #ItsChinasFault https://youtu.be/3bXWGxhd7ic"
4/12/2020 11:20,asoundbite,0,0,0,#america #buy_american #buy_local #company #corporation #covid19 #economy #illness #itschinasfault #retail #rona #shutdown #state #unemployment #usa #wakeuphttps,"New Podcast! ""Is Your Job Still Going To Be There"" on @Spreaker #america #buy_american #buy_local #company #corporation #covid19 #economy #illness #itschinasfault #retail #rona #shutdown #state #unemployment #usa #wakeuphttps://www.spreaker.com/user/boomvangproductions/is-your-job-still-going-to-be-there?autoplay=1 …"
4/11/2020 20:21,madmanmikey,0,0,1,#ItsChinasFault,Sorry. If I still had a job I wouldn't have time to do stupid shit like this. #ItsChinasFault pic.twitter.com/YH3quJIuCb
4/9/2020 20:50,mrsmarsions,0,0,0,#ItsChinasFault #WHOLiedPeopleDied,"Today, I’m furious! Who is going to hold the Chinese government accountable for unleashing this horrible virus on the world????? They are to blame! Not the Chinese people, the government of China. #ItsChinasFault #WHOLiedPeopleDied"
4/8/2020 15:09,cindievaccaro,4,76,59,#ItsChinasFault #COVIDー19 #ChineseVirus #ChineseWuhanVirushttps,"Works for me. Gordon Chang: ""U.S. Should Seize China's $1 Trillion in Treasury Obligations as Coronavirus Compensation"" #ItsChinasFault #COVIDー19 #ChineseVirus #ChineseWuhanVirushttps://www.trump-traiin.com/2020/04/gordon-chang-us-should-seize-chinas-1.html …"
4/7/2020 18:42,Blackburn902,0,0,1,#shithole #ItsChinasFault,China is a shithole country. Prove me wrong. #shithole #ItsChinasFault
4/7/2020 16:04,CurtHarrison_63,0,0,0,#China #ChinaVirus #TDS #ItsChinasFault #BlameChina #SorryNotSorry,"I'm POSITIVE YOU didn't call him ""RACIST"" when he stopped entry into the USA from #China, right? #ChinaVirus #TDS #ItsChinasFault #BlameChina #SorryNotSorry"
4/4/2020 17:57,MaryMister13,0,0,1,#ChinaLiedPeopleDied #ItsChinasFault,What a dumb letter. #ChinaLiedPeopleDied. #ItsChinasFault
4/3/2020 7:04,chilternbear1,0,0,1,#ItsChinasFault #ChinaLiedPeopleDied #BBCBias #ChinaCoronaVirus #China #BlameChina #BlameTheViruspic,It is nothing more than a ‘bash the government’ shitshow! #ItsChinasFault #ChinaLiedPeopleDied #BBCBias #ChinaCoronaVirus #China #BlameChina #BlameTheViruspic.twitter.com/ZxY8IMjfSk
4/2/2020 3:46,Krawley19,0,0,0,#ItsChinasFault #COVID19 #ChinaLiedAndPeopleDied,#ItsChinasFault #COVID19 enough said. Make this trend on here!!!! #ChinaLiedAndPeopleDied
4/2/2020 2:30,santookas,0,0,0,#ChinaLiedPeopleDied #ChineseVirus #ChinaLiedAndPeopleDied #ChinaLiesPeopleDie #ChinaVirus #ItsChinasFault #coronavirus #coronavirusuk #COVIDー19 #COVID19https,"YES, YES AND YES #ChinaLiedPeopleDied #ChineseVirus #ChinaLiedAndPeopleDied #ChinaLiesPeopleDie #ChinaVirus #ItsChinasFault #coronavirus #coronavirusuk #COVIDー19 #COVID19https://twitter.com/MRobertsQLD/status/1244901180720865285 …"
4/1/2020 20:30,Minusthewaste,0,0,0,#china #COVIDー19 #ItsChinasFault,#china needs to be punished for not only the American's who have died from this but for every death in all countries you killed innocent people #COVIDー19 #ItsChinasFault https://twitter.com/RealSaavedra/status/1245214167910342656 …
4/1/2020 10:54,MarcusINVICTUS2,0,0,0,#covid #Coronavirus #chinasucks #itschinasfault #makechinapaypic,#covid-19 #Coronavirus #chinasucks #itschinasfault #makechinapaypic.twitter.com/eHIHeh5jDL
3/29/2020 19:35,RedsofTfc,0,0,0,#covid19 #itsCHINASfault #blameCHINA #STOPdoingbusinessinCHINA,#covid19 #itsCHINASfault #blameCHINA #STOPdoingbusinessinCHINA @JustinTrudeau @fordnation
3/23/2020 20:08,derpyspoon7,0,0,0,#itschinasfault,#itschinasfault
3/23/2020 20:06,Edward84719132,0,0,1,#itschinasfault,"Hey lin Go to China save ""your"" people from this bullshit Chinese virus to then go to Hell. #itschinasfault"
3/22/2020 20:14,ajnatale,0,1,2,#itschinasfault #BoycottChina #boycottchina,As Ohio begins a mandatory shut down tomorrow let us all remember this: #itschinasfault #BoycottChina #boycottchina
3/22/2020 19:12,thatmydog,0,0,1,#ItsObamasFault #ItsMexicosFault #ItsChinasFault #BEaMAN #BigBoyPants #COVIDー19 #coronavirus #Conman,Stop putting blame on everyone else AND BE A LEADER FOR ONCE IN YOUR LIFE!!! #ItsObamasFault #ItsMexicosFault #ItsChinasFault #BEaMAN #BigBoyPants #COVIDー19 #coronavirus #Conman @Heath69 @NikkiSixx
3/22/2020 5:16,DarrellF20,0,0,0,#ChinaLiedAndPeopleDied #ChinaVirus #itschinasfault,#ChinaLiedAndPeopleDied #ChinaVirus #itschinasfault
3/22/2020 2:36,MartiniDude,0,0,1,#ItsObamasFault #ItsChinasFault #ItsFunAndGamesUntil #COVID19 #TrumpLiesPeopleDie,#ItsObamasFault #ItsChinasFault #ItsFunAndGamesUntil #COVID19 #TrumpLiesPeopleDie
3/21/2020 21:14,MartiniDude,0,0,1,#ItsChinasFault,#ItsChinasFault! He’s like my kids... before they were 5 years old...
3/21/2020 16:30,CEOJimmyLee,0,0,1,#itschinasfault,#itschinasfault https://twitter.com/ChanelRion/status/1241398509359767560 …
3/21/2020 12:06,Edward84719132,0,0,0,#itschinasfault,"How many of these students and actors are spys? jackie chan has been ""acting"" a bit weird over the last 2_3 years no very pro American. #itschinasfault"
3/21/2020 0:53,tsen66,0,0,0,#itschinasfault,#itschinasfault
3/20/2020 22:18,TonyPatrony,0,0,0,#FakeNews #MakeChinaPay #BlameChina #ItsChinasFault #Chinese #WuhanCoronavius,"Despicable. #FakeNews just doing what they do best. Truthfully inform, don't exacerbate the problem. #MakeChinaPay #BlameChina #ItsChinasFault #Chinese #WuhanCoronavius"
3/20/2020 22:13,TonyPatrony,0,0,0,#China #SupplyChain #MakeChinaPay #BlameChina #ItsChinasFault #Chinese #WuhanCoronaviushttps,Damn straight!! @realDonaldTrump campaigned to end our dependence on #China and the fragility of our foreign #SupplyChain. Actually he's been talking about that for the past 20 years. #MakeChinaPay #BlameChina #ItsChinasFault #Chinese #WuhanCoronaviushttps://twitter.com/EricMMatheny/status/1241122044001083392 …
3/20/2020 21:33,PaytonBennett5,0,0,0,#ItsChinasFault,He doesn’t take responsibility because #ItsChinasFault
3/20/2020 19:40,Edward84719132,0,0,0,#itschinasfault,#itschinasfault
3/20/2020 19:17,AdamPhillips727,0,0,0,#MSMNeedsToSeeThis #ItsChinasFault #CCPcoronavirus #LeftistsSuck #TheTruthHurtshttps,Once again @ImAmazingLucas2 comes out with some serious truth tellin'!! #MSMNeedsToSeeThis #ItsChinasFault #CCPcoronavirus #LeftistsSuck #TheTruthHurtshttps://youtu.be/1bQnD9oVG50
3/20/2020 18:19,CHag4life,0,0,0,#ItsChinasFAULT #ChineseVirus #ChineseWuhanVirus #WuhanVirus,How about Kung Flu? #ItsChinasFAULT #ChineseVirus #ChineseWuhanVirus #WuhanVirus
3/20/2020 12:45,cdsdrs,0,0,0,#itschinasfault,#itschinasfault https://twitter.com/DineshDSouza/status/1240716280707022851 …
3/20/2020 5:21,AdamPhillips727,0,0,0,#MSMNeedsToSeeThis #ItsChinasFault #CCPcoronavirus #LeftistsSuck #TheTruthHurtshttps,Once again @ImAmazingLucas2 comes out with some serious truth tellin'!! #MSMNeedsToSeeThis #ItsChinasFault #CCPcoronavirus #LeftistsSuck #TheTruthHurtshttps://youtu.be/1bQnD9oVG50
3/19/2020 16:46,LifeVestedGamer,0,0,1,#itschinasfault,Criticizing a Government: Not Racist. Criticizing a Race: Racist. China's Government is the reason why the world economy is collapsing. They suppressed information in the same way the Soviet Union suppressed the effects of Chernobyl. #itschinasfault
3/19/2020 13:24,Wallace9700,0,0,0,#WellStated #ItsChinasFault #ChineseCoronaVirus,#WellStated #ItsChinasFault #ChineseCoronaVirus
3/19/2020 7:46,paperhearts79,0,0,1,#ChinaLiedPeopleDied #ChineseWuhanVirus #itsChinasfault #blametheChinesefully,Bloody hell poorey duniya mein deshyat phela ke ab celebrate Kar rahein !!!!! make China pay us ! #ChinaLiedPeopleDied #ChineseWuhanVirus #itsChinasfault #blametheChinesefully
3/19/2020 5:38,Edward84719132,0,0,0,#itschinasfault,oh well it is what it is. #itschinasfault
